city,state,destinationID
Las Vegas,Nevada,lasvegas
New York,New York,newyork
Boston,Massachusetts,boston
Orlando,Florida,orlando
New Orleans,Louisiana,neworleans
Honolulu,Hawaii,honolulu
Chicago,Illinois,chicago
Alexandria,Virginia,alexandria
San Antonio,Texas,sanantonio
Asheville,North Carolina,asheville
Miami,Florida,miami
Los Angeles,California,losangeles
San Francisco,California,sanfrancisco
Washington,DC,washington
Phoenix,Arizona,phoenix
Houston,Texas,houston
Philadelphia,Pennsylvania,philadelphia
Dallas,Texas,dallas
San Jose,California,sanjose
Austin,Texas,austin
Jacksonville,Florida,jacksonville
Columbus,Ohio,columbus
Indianapolis,Indiana,indianapolis
Charlotte,North Carolina,charlotte
Seattle,Washington,seattle
Denver,Colorado,denver
Nashville,Tennessee,nashville
Oklahoma City,Oklahoma,oklahomacity
El Paso,Texas,elpaso
Portland,Oregon,portland
Detroit,Michigan,detroit
Memphis,Tennessee,memphis
Louisville,Kentucky,louisville
Baltimore,Maryland,baltimore
Milwaukee,Wisconsin,milwaukee
Tucson,Arizona,tucson
Fresno,California,fresno
Sacramento,California,sacramento
Kansas City,Missouri,kansascity
Oakland,California,oakland
